year_label,avg_temp
2018,9.445941863E0
2019,9.388839151E0
2020,9.61783735E0
2011,9.607467562E0
2012,8.737810738E0
2013,8.741614548E0
2014,9.87960063E0
2015,9.184396795E0
2016,9.286370847E0
2017,9.530665863E0
1998,9.157646438E0
1999,9.37297137E0
2000,9.098586858E0
2001,8.800645945E0
2002,9.436561973E0
2003,9.472070932E0
2004,9.441717596E0
2005,9.415262356E0
2006,9.702520356E0
2007,9.564108411E0
2008,9.021623552E0
2009,9.136951151E0
2010,7.938487781E0
1997,9.408207479E0
1948,8.805530601E0
1949,9.340455644E0
1950,8.29967211E0
1951,8.113060438E0
1952,7.99254276E0
1953,8.909713123E0
1954,8.127874055E0
1955,8.229910164E0
1956,7.902559672E0
1957,8.836948082E0
1958,8.251247233E0
1959,9.242711589E0
1960,8.538865765E0
1961,8.669570438E0
1962,7.561311699E0
1963,7.403362301E0
1964,8.309637978E0
1965,7.755031096E0
1966,8.188235644E0
1967,8.468887534E0
1968,8.156050765E0
1969,8.115813178E0
1970,8.313165589E0
1971,8.728489342E0
1972,8.100739372E0
1973,8.431589808E0
1974,8.377417562E0
1975,8.76912074E0
1976,8.735416913E0
1977,8.266387945E0
1978,8.226715315E0
1979,7.594574274E0
1980,8.255493087E0
1981,8.102850164E0
1982,8.656485973E0
1983,8.826009671E0
1984,8.573475027E0
1985,7.784863808E0
1986,7.674404411E0
1987,7.993920438E0
1988,8.728827322E0
1989,9.227868301E0
1990,9.379555041E0
1991,8.541466301E0
1992,8.693109098E0
1993,8.325390795E0
1994,8.885166384E0
1995,9.173812192E0
1996,8.178423169E0
1884,8.475600874E0
1885,7.361354658E0
1886,7.451675096E0
1887,7.508783945E0
1888,7.280336175E0
1889,8.015178822E0
1890,7.957247288E0
1891,7.601503836E0
1892,7.01653041E0
1893,8.782930055E0
1894,8.185849507E0
1895,7.546528384E0
1896,8.259370683E0
1897,8.229974575E0
1898,8.875231479E0
1899,8.57228937E0
1900,8.283999671E0
1901,8.082372164E0
1902,7.725575014E0
1903,8.019626877E0
1904,7.992343798E0
1905,8.188413342E0
1906,8.292621863E0
1907,7.833456712E0
1908,8.306992268E0
1909,7.520684247E0
1910,8.090229644E0
1911,8.810151041E0
1912,8.173879536E0
1913,8.592562959E0
1914,8.695387288E0
1915,7.810789781E0
1916,8.105514262E0
1917,7.521023315E0
1918,8.327633726E0
1919,7.424323534E0
1920,8.450561557E0
1921,9.240960192E0
1922,7.632063534E0
1923,7.967663342E0
1924,8.191917049E0
1925,8.123022658E0
1926,8.585211123E0
1927,8.065698192E0
1928,8.351416803E0
1929,7.978344548E0
1930,8.291005205E0
1931,7.978350712E0
1932,8.350144754E0
1933,8.824196712E0
1934,8.867847534E0
1935,8.521009342E0
1936,8.255324918E0
1937,8.334515616E0
1938,8.924313616E0
1939,8.566243836E0
1940,8.007832814E0
1941,7.956245479E0
1942,8.032649945E0
1943,8.881350685E0
1944,8.441960628E0
1945,9.133828411E0
1946,8.349250712E0
1947,8.373648384E0
